continent,age,year,annual_salary_mean_eur,annual_salary_median_eur
Europe,18-24,2024,28000.0,24000.0
Europe,25-34,2024,31500.0,27000.0
Europe,35-44,2024,35000.0,30000.0
Europe,45-54,2024,38500.0,33000.0
Europe,55-64,2024,42000.00000000001,36000.00000000001
Europe,65+,2024,45500.0,39000.0
Asia,18-24,2024,14400.0,12000.0
Asia,25-34,2024,16200.0,13500.0
Asia,35-44,2024,18000.0,15000.0
Asia,45-54,2024,19800.0,16500.0
Asia,55-64,2024,21600.000000000004,18000.000000000004
Asia,65+,2024,23400.0,19500.0
North America,18-24,2024,46400.0,40000.0
North America,25-34,2024,52200.0,45000.0
North America,35-44,2024,58000.0,50000.0
North America,45-54,2024,63800.00000000001,55000.00000000001
North America,55-64,2024,69600.00000000001,60000.00000000001
North America,65+,2024,75400.0,65000.0
South America,18-24,2024,17600.0,15200.0
South America,25-34,2024,19800.0,17100.0
South America,35-44,2024,22000.0,19000.0
South America,45-54,2024,24200.000000000004,20900.0
South America,55-64,2024,26400.000000000004,22800.000000000004
South America,65+,2024,28600.0,24700.0
Africa,18-24,2024,9600.0,8000.0
Africa,25-34,2024,10800.0,9000.0
Africa,35-44,2024,12000.0,10000.0
Africa,45-54,2024,13200.000000000002,11000.0
Africa,55-64,2024,14400.000000000002,12000.000000000002
Africa,65+,2024,15600.0,13000.0
Oceania,18-24,2024,41600.0,36000.0
Oceania,25-34,2024,46800.0,40500.0
Oceania,35-44,2024,52000.0,45000.0
Oceania,45-54,2024,57200.00000000001,49500.00000000001
Oceania,55-64,2024,62400.00000000001,54000.00000000001
Oceania,65+,2024,67600.0,58500.0
