continent,age,year,hours_mean,hours_median
Europe,18-24,2024,38,37
Europe,25-34,2024,38,37
Europe,35-44,2024,38,37
Europe,45-54,2024,38,37
Europe,55-64,2024,38,37
Europe,65+,2024,36,35
Asia,18-24,2024,43,42
Asia,25-34,2024,43,42
Asia,35-44,2024,43,42
Asia,45-54,2024,43,42
Asia,55-64,2024,43,42
Asia,65+,2024,41,40
North America,18-24,2024,40,39
North America,25-34,2024,40,39
North America,35-44,2024,40,39
North America,45-54,2024,40,39
North America,55-64,2024,40,39
North America,65+,2024,38,37
South America,18-24,2024,42,41
South America,25-34,2024,42,41
South America,35-44,2024,42,41
South America,45-54,2024,42,41
South America,55-64,2024,42,41
South America,65+,2024,40,39
Africa,18-24,2024,45,44
Africa,25-34,2024,45,44
Africa,35-44,2024,45,44
Africa,45-54,2024,45,44
Africa,55-64,2024,45,44
Africa,65+,2024,43,42
Oceania,18-24,2024,39,38
Oceania,25-34,2024,39,38
Oceania,35-44,2024,39,38
Oceania,45-54,2024,39,38
Oceania,55-64,2024,39,38
Oceania,65+,2024,37,36
