continent,age,year,job_switch_rate_pct
Europe,18-24,2024,12
Europe,25-34,2024,12
Europe,35-44,2024,12
Europe,45-54,2024,9
Europe,55-64,2024,6
Europe,65+,2024,3
Asia,18-24,2024,14
Asia,25-34,2024,14
Asia,35-44,2024,14
Asia,45-54,2024,11
Asia,55-64,2024,8
Asia,65+,2024,5
North America,18-24,2024,15
North America,25-34,2024,15
North America,35-44,2024,15
North America,45-54,2024,12
North America,55-64,2024,9
North America,65+,2024,6
South America,18-24,2024,12
South America,25-34,2024,12
South America,35-44,2024,12
South America,45-54,2024,9
South America,55-64,2024,6
South America,65+,2024,3
Africa,18-24,2024,10
Africa,25-34,2024,10
Africa,35-44,2024,10
Africa,45-54,2024,7
Africa,55-64,2024,4
Africa,65+,2024,1
Oceania,18-24,2024,14
Oceania,25-34,2024,14
Oceania,35-44,2024,14
Oceania,45-54,2024,11
Oceania,55-64,2024,8
Oceania,65+,2024,5
