continent,age,year,remote_work_share_pct
Europe,18-24,2024,27
Europe,25-34,2024,27
Europe,35-44,2024,27
Europe,45-54,2024,27
Europe,55-64,2024,22
Europe,65+,2024,22
Asia,18-24,2024,16
Asia,25-34,2024,16
Asia,35-44,2024,16
Asia,45-54,2024,16
Asia,55-64,2024,11
Asia,65+,2024,11
North America,18-24,2024,34
North America,25-34,2024,34
North America,35-44,2024,34
North America,45-54,2024,34
North America,55-64,2024,29
North America,65+,2024,29
South America,18-24,2024,20
South America,25-34,2024,20
South America,35-44,2024,20
South America,45-54,2024,20
South America,55-64,2024,15
South America,65+,2024,15
Africa,18-24,2024,12
Africa,25-34,2024,12
Africa,35-44,2024,12
Africa,45-54,2024,12
Africa,55-64,2024,7
Africa,65+,2024,7
Oceania,18-24,2024,30
Oceania,25-34,2024,30
Oceania,35-44,2024,30
Oceania,45-54,2024,30
Oceania,55-64,2024,25
Oceania,65+,2024,25
