continent,age,year,job_switch_rate_pct
Europe,18-24,2024,18
Europe,25-34,2024,16
Europe,35-44,2024,12
Europe,45-54,2024,9
Europe,55-64,2024,7
Europe,65+,2024,3
Asia,18-24,2024,20
Asia,25-34,2024,18
Asia,35-44,2024,14
Asia,45-54,2024,10
Asia,55-64,2024,8
Asia,65+,2024,4
North America,18-24,2024,22
North America,25-34,2024,20
North America,35-44,2024,15
North America,45-54,2024,10
North America,55-64,2024,8
North America,65+,2024,4
South America,18-24,2024,18
South America,25-34,2024,16
South America,35-44,2024,12
South America,45-54,2024,9
South America,55-64,2024,7
South America,65+,2024,3
Africa,18-24,2024,16
Africa,25-34,2024,14
Africa,35-44,2024,12
Africa,45-54,2024,9
Africa,55-64,2024,7
Africa,65+,2024,3
Oceania,18-24,2024,20
Oceania,25-34,2024,18
Oceania,35-44,2024,14
Oceania,45-54,2024,10
Oceania,55-64,2024,8
Oceania,65+,2024,4
