continent,age,year,net_wealth_median_eur
Europe,18-24,2024,45000.0
Europe,25-34,2024,50400.00000000001
Europe,35-44,2024,55800.0
Europe,45-54,2024,61199.99999999999
Europe,55-64,2024,66600.0
Europe,65+,2024,72000.0
Asia,18-24,2024,20000.0
Asia,25-34,2024,22400.000000000004
Asia,35-44,2024,24800.0
Asia,45-54,2024,27199.999999999996
Asia,55-64,2024,29600.0
Asia,65+,2024,32000.0
North America,18-24,2024,80000.0
North America,25-34,2024,89600.00000000001
North America,35-44,2024,99200.0
North America,45-54,2024,108799.99999999999
North America,55-64,2024,118400.0
North America,65+,2024,128000.0
South America,18-24,2024,25000.0
South America,25-34,2024,28000.000000000004
South America,35-44,2024,31000.0
South America,45-54,2024,34000.0
South America,55-64,2024,37000.0
South America,65+,2024,40000.0
Africa,18-24,2024,12000.0
Africa,25-34,2024,13440.000000000002
Africa,35-44,2024,14880.0
Africa,45-54,2024,16319.999999999998
Africa,55-64,2024,17760.0
Africa,65+,2024,19200.0
Oceania,18-24,2024,70000.0
Oceania,25-34,2024,78400.00000000001
Oceania,35-44,2024,86800.0
Oceania,45-54,2024,95199.99999999999
Oceania,55-64,2024,103600.0
Oceania,65+,2024,112000.0
