continent,age,year,side_gig_share_pct
Europe,18-24,2024,22
Europe,25-34,2024,18
Europe,35-44,2024,15
Europe,45-54,2024,12
Europe,55-64,2024,10
Europe,65+,2024,8
Asia,18-24,2024,28
Asia,25-34,2024,22
Asia,35-44,2024,18
Asia,45-54,2024,14
Asia,55-64,2024,12
Asia,65+,2024,9
North America,18-24,2024,26
North America,25-34,2024,20
North America,35-44,2024,16
North America,45-54,2024,13
North America,55-64,2024,11
North America,65+,2024,9
South America,18-24,2024,30
South America,25-34,2024,24
South America,35-44,2024,20
South America,45-54,2024,16
South America,55-64,2024,14
South America,65+,2024,10
Africa,18-24,2024,34
Africa,25-34,2024,28
Africa,35-44,2024,22
Africa,45-54,2024,18
Africa,55-64,2024,16
Africa,65+,2024,12
Oceania,18-24,2024,24
Oceania,25-34,2024,19
Oceania,35-44,2024,15
Oceania,45-54,2024,12
Oceania,55-64,2024,10
Oceania,65+,2024,8
