continent,age,year,unemployment_rate_pct
Europe,18-24,2024,14
Europe,25-34,2024,9
Europe,35-44,2024,6
Europe,45-54,2024,5
Europe,55-64,2024,5
Europe,65+,2024,6
Asia,18-24,2024,16
Asia,25-34,2024,11
Asia,35-44,2024,7
Asia,45-54,2024,6
Asia,55-64,2024,6
Asia,65+,2024,7
North America,18-24,2024,12
North America,25-34,2024,8
North America,35-44,2024,5
North America,45-54,2024,4
North America,55-64,2024,4
North America,65+,2024,5
South America,18-24,2024,18
South America,25-34,2024,12
South America,35-44,2024,8
South America,45-54,2024,7
South America,55-64,2024,7
South America,65+,2024,8
Africa,18-24,2024,22
Africa,25-34,2024,16
Africa,35-44,2024,12
Africa,45-54,2024,11
Africa,55-64,2024,10
Africa,65+,2024,10
Oceania,18-24,2024,12
Oceania,25-34,2024,7
Oceania,35-44,2024,5
Oceania,45-54,2024,4
Oceania,55-64,2024,4
Oceania,65+,2024,5
